Finding ID,Source Audit File,Module,Route,Screen,Persona,User Journey,Severity,Original Finding,Root Cause,Fix Decision,Code Files Changed,Test Evidence,Runtime Evidence,Screenshot Path,Status,Notes
CAT-0001,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P0,"source_test_case_id: input.source_test_case_id ?? null,","QA defect lineage can be saved without a test case, breaking requirement→case→run→defect traceability.","Make source_test_case_id mandatory for QA defect creation from TestHub, or route standalone defects outside QA lineage. (Slice 1)",src/hooks/test-management/useDefects.ts,manual code read-through; tsc --noEmit 0 errors project-wide,Live-verified via Chrome MCP against localhost:8080 dev server (see catalyst-runtime-proof-report.md).,,Fixed,Closed in CAT-AUDIT-REMEDIATION-20260705-001 Slice 1.
CAT-0002,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P0,"source_test_run_id: input.source_test_run_id ?? null,","QA defect lineage can be saved without a test execution run, so failure evidence is optional.",Require source_test_run_id for defects raised from execution and show the originating run on detail. (Slice 1),src/hooks/test-management/useDefects.ts,manual code read-through; tsc --noEmit 0 errors project-wide,Live-verified via Chrome MCP against localhost:8080 dev server (see catalyst-runtime-proof-report.md).,,Fixed,Closed in CAT-AUDIT-REMEDIATION-20260705-001 Slice 1.
CAT-0003,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"source_test_plan_id: input.source_test_plan_id ?? null,","Defect can lack test-plan context, weakening release/test-plan readiness reports.",Derive or require source_test_plan_id when a defect is created from a cycle/plan.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0004,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P0,onCreate: async ({ title }) => {,"The defects list quick-create sends only title/project/default severity, creating standalone QA bugs without case/run/evidence.",Remove quick-create for QA Bugs or open a guided defect-from-evidence flow. (Slice 1),src/modules/project-work-hub/adapters/defectsDataSource.ts,manual code read-through; tsc --noEmit 0 errors project-wide,Live-verified via Chrome MCP against localhost:8080 dev server (see catalyst-runtime-proof-report.md).,,Fixed,Closed in CAT-AUDIT-REMEDIATION-20260705-001 Slice 1.
CAT-0005,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P0,if (selectedCaseIds.size > 0) {,"Cycle creation adds cases only when selected cases exist, so an empty cycle can be saved.","Block Create Cycle until at least one approved/published case is selected, or mark it Draft/Not executable. (Slice 1)",src/pages/testhub/cycles/CyclesPage.tsx,manual code read-through; tsc --noEmit 0 errors project-wide,Live-verified via Chrome MCP against localhost:8080 dev server (see catalyst-runtime-proof-report.md).,,Fixed,Closed in CAT-AUDIT-REMEDIATION-20260705-001 Slice 1.
CAT-0006,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,No steps defined for this test case — record a case-level verdict instead.,The runner explicitly allows case-level verdict for a test case with no steps; evidence rigor can degrade silently.,"Require steps for formal cases, or make no-step execution an explicit exploratory/session case type.",,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0007,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,if (run && stepStates.length > 0) {,Step result rows are only inserted when stepStates exist; no-step cases produce no step-level evidence.,Show evidence granularity and require actual-result notes/attachments for no-step failed cases.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0008,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"3. **`ph_issue_id`-linked governance defaults are coarse.** All 152 backfilled incidents got `impact='medium'`, `urgency='medium'`, `support_level='L1'` uniformly (no real signal existed for these in Jira) — so `priority` is P3 for all of t","Backfilled incident impact/urgency/support level are uniform defaults, so priority can look meaningful when it is not.",Display “needs triage review” and require real impact/urgency/support-level classification.,,,,,Deferred,Staged for Incident Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0009,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P0,"4. **No SLA breach *alerting*.** The DB now correctly computes ""is this breaching right now"" (`incident_sla_live_status`), but nothing surfaces it to a user yet — no toast, badge, or notification wired. That data is ready to consume; UI isn",SLA breach computation exists but the handover says no user-facing alert/badge/notification is wired.,"Surface live SLA status on dashboard, list, detail, board cards, notifications, and reports.",,,,,Deferred,P0 but scoped to Incident Hub wave (Slice 3+); depends on re-verifying features/CAT-INCIDENT-GOVERNANCE-20260703-001/07_HANDOVER.md currency first.
CAT-0010,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,"6. **Historical MTTR / migration path.** 137 ""closed"" backfilled incidents have no `resolved_at`/`closed_at` timestamps set (only `status`), so any MTTR calc against the native table for historical incidents will be wrong/empty. Real MTTR d","Closed historical incidents can lack resolved_at/closed_at, making native historical MTTR empty or misleading.",Add capture-window disclosure and avoid historical MTTR charts until source history exists.,,,,,Deferred,Staged for Incident Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
